"#","Full Name","Email Address","Phone","Service","Lead Status","Lead Source","Created Date","Updated Date"
"","Mr. kane Kanny","mb3989888@gmail.com","+9716873687367","","Accepted","","25/09/2024, 06:20:50 pm","25/09/2024, 06:20:51 pm"
"","Mr. jack bill","aa2@gmail.com","+9715467576576","","Accepted","","25/09/2024, 05:51:47 pm","25/09/2024, 05:52:17 pm"
""," sara aliii","abc@gmail.com","+97133333333333","","Not Started","","18/09/2024, 06:37:42 pm","18/09/2024, 06:44:33 pm"
"","Mr. samia khan","abc@gmail.com","+9713576387268","","Completed","","16/09/2024, 06:16:33 pm","16/09/2024, 06:52:16 pm"
"","Mr. kainat khan","hh@gmail.com","+9716576576587","","Not Started","","16/09/2024, 06:03:16 pm","16/09/2024, 06:03:16 pm"
"","Ms. sandy bill","depresssoul123@gmail.com","+971657868768","","In Progress","","16/09/2024, 02:46:37 pm","16/09/2024, 02:48:38 pm"
"","Mr. kainat khan","hh@gmail.com","+9716576576587","","Not Started","","13/09/2024, 04:15:15 pm","13/09/2024, 04:16:02 pm"
"","Mr. jack bill","aa2@gmail.com","+9715467576576","","Completed","","13/09/2024, 04:02:19 pm","13/09/2024, 06:46:47 pm"
"","Mr. kane Kanny","mb3989888@gmail.com","+9716873687367","","Pending","","13/09/2024, 03:30:01 pm","13/09/2024, 03:34:29 pm"
"","Ms. sandy bill","depresssoul123@gmail.com","+971657868768","","In Progress","","13/09/2024, 02:34:44 pm","13/09/2024, 02:52:35 pm"
"","Mr. sam john","itscherryberryfun@gmail.com","+9716756787687","","Accepted","","13/09/2024, 11:23:42 am","25/09/2024, 05:00:24 pm"
